date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:12	230161/230161	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2005:59:44%20GMT	https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/index.html	(from )
08:55:13	95/95	---M-Z	200	added ('OK')	text/plain	date:Tue,%2007%20Jun%202022%2006:55:13%20GMT	https://www.webslowcost.pro/robots.txt		(from )
08:55:13	1994655/1994655	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Jun%202022%2001:54:43%20GMT	https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:13	41834/41834	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2020:49:13%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/Posicionamiento-web-seo-en-Barcelona.jpeg	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/Posicionamiento-web-seo-en-Barcelona.jpg	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:13	1314/1314	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2001:47:45%20GMT	https://www.webslowcost.pro/wp-content/uploads/elementor/css/post-1409.css?ver=1649814465	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/elementor/css/post-1409e8e5.css	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:14	8902/8902	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2001:47:45%20GMT	https://www.webslowcost.pro/wp-content/uploads/elementor/css/post-4946.css?ver=1649814465	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/elementor/css/post-4946e8e5.css	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:14	163940/163940	---MC-	200	added ('OK')	text/javascript	date:Tue,%2007%20Jun%202022%2006:55:15%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/DOWNLOADS/POSICIONAIENTO%20WEB/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:14	2106/2106	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Mar%202021%2011:32:39%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/cropped-wlc-32x32.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/cropped-wlc-32x32.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:14	17967/17967	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Mar%202021%2011:32:39%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/cropped-wlc-192x192.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/cropped-wlc-192x192.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:15	16516/16516	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Mar%202021%2011:32:39%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/cropped-wlc-180x180.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/cropped-wlc-180x180.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:15	841/841	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2007%20Jun%202022%2006:55:15%20GMT	https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/feed/	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/feed/index.html	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:16	153978/153978	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jun%202022%2006:55:17%20GMT	https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/images/layers.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/images/layers.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:18	153978/153978	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jun%202022%2006:55:18%20GMT	https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/images/layers-2x.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/images/layers-2x.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:20	153978/153978	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jun%202022%2006:55:20%20GMT	https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/images/marker-icon.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/images/marker-icon.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:21	11605/11605	---M--	200	added ('OK')	image/png	etag:%229b34e39ccbeb1c01a8e5ce9462ff64c1%22	https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:21	13484/13484	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2015:23:00%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/wlc-300x69.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/wlc-300x69.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:21	58267/58267	---M--	200	added ('OK')	image/gif	etag:%2261a4c610-e39b%22	https://afiliados.webempresa.eu/banner-afiliados-nuevos-planes-hombreverde-300x250px.gif	D:/DOWNLOADS/POSICIONAIENTO%20WEB/afiliados.webempresa.eu/banner-afiliados-nuevos-planes-hombreverde-300x250px.gif	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:21	35448/35448	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2020:49:13%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/Posicionar-una-web-en-Barcelona.jpeg	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/Posicionar-una-web-en-Barcelona.jpg	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
